id_station,dh_utc,temperature,pression,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_direction,pluie_3h,pluie_1h,neige_au_sol,nebulosite,temps_omm
07015,2024-10-05 00:00:00,7.6,1020.7,89,5.9,6000,3.6,7.2,90,0,0,,,
07015,2024-10-05 01:00:00,7.5,1020.6,92,6.3,7000,3.6,7.2,30,,0,,,
07015,2024-10-05 02:00:00,7.4,1020.3,93,6.3,4400,7.2,7.2,40,,0,,,10
07015,2024-10-05 03:00:00,6.2,1020.1,95,5.5,2500,3.6,7.2,60,0,0,,,10
07015,2024-10-05 04:00:00,5.5,1019.9,96,4.9,500,3.6,3.6,90,,0,,,44
07015,2024-10-05 05:00:00,5,1019.8,98,4.7,300,3.6,3.6,100,,0,,,44
07015,2024-10-05 06:00:00,5.1,1019.7,100,5.1,100,3.6,10.8,100,0,0,,8,45
07015,2024-10-05 07:00:00,5.8,1019.5,100,5.8,700,3.6,10.8,90,,0,,,44
07015,2024-10-05 08:00:00,8.2,1019.6,98,7.9,5000,7.2,10.8,120,,0,,,
07015,2024-10-05 09:00:00,11.3,1019.6,84,8.7,6000,7.2,10.8,140,0,0,,,
07015,2024-10-05 10:00:00,13.8,1019.1,72,8.8,11000,7.2,10.8,140,,0,,,
07015,2024-10-05 11:00:00,15.5,1018.4,65,8.9,26000,7.2,14.4,150,,0,,,
07015,2024-10-05 12:00:00,16.9,1017.4,57,8.3,25000,10.8,21.6,160,0,0,,,
07015,2024-10-05 13:00:00,17.2,1016.4,58,8.9,25000,10.8,32.4,140,,0,,,
07015,2024-10-05 14:00:00,16.2,1015.9,56,7.4,30000,10.8,28.8,160,,0,,,
07015,2024-10-05 15:00:00,15.8,1015.3,58,7.5,30000,14.4,21.6,90,0,0,,7,
07015,2024-10-05 16:00:00,14.9,1014.5,61,7.4,19000,14.4,21.6,100,,0,,,
07015,2024-10-05 17:00:00,12.5,1013.9,71,7.4,40000,10.8,18,90,,0,,,
07015,2024-10-05 18:00:00,10.9,1013.7,78,7.2,30000,10.8,14.4,90,0,0,,,
07015,2024-10-05 19:00:00,10.4,1013.3,81,7.3,19000,7.2,10.8,90,,0,,,
07015,2024-10-05 20:00:00,9.2,1012.9,85,6.8,20000,10.8,18,90,,0,,,
07015,2024-10-05 21:00:00,8.7,1012.4,86,6.5,22000,14.4,21.6,100,0,0,,,
07015,2024-10-05 22:00:00,8.3,1012.3,86,6.1,26000,7.2,18,120,,0,,,
07015,2024-10-05 23:00:00,7.6,1011.4,88,5.7,21000,7.2,14.4,120,,0,,,
07015,2024-10-06 00:00:00,7.4,1010.8,87,5.4,21000,10.8,18,100,0.2,0.2,,,
07015,2024-10-06 01:00:00,7.8,1010.2,88,5.9,22000,10.8,18,120,,0,,,
07015,2024-10-06 02:00:00,7.9,1009,89,6.2,21000,14.4,25.2,100,,0,,,
07015,2024-10-06 03:00:00,8.2,1008.5,89,6.5,26000,14.4,25.2,110,0,0,,6,
07015,2024-10-06 04:00:00,8.2,1007.8,89,6.5,26000,18,28.8,110,,0,,8,
07015,2024-10-06 05:00:00,8.4,1007.2,89,6.7,26000,18,25.2,110,,0,,8,
07015,2024-10-06 06:00:00,8.8,1007,88,6.9,27000,21.6,28.8,110,0,0,,8,
07015,2024-10-06 07:00:00,9.4,1006.4,85,7,23000,18,32.4,90,,0,,8,
07015,2024-10-06 08:00:00,9.9,1006.2,85,7.5,30000,14.4,32.4,110,,0,,7,
